GISJOIN,YEAR,STATE,STATEA,COUNTY,COUNTYA,AREANAME,STATEICP,COUNTYICP,AAA001,AAO001,AAO002,AAO003,AAO004,AAP001,AAP002
"G5101650","1790","Virginia","510","Rockingham","1650","Rockingham","40","1650",7449,1652,1816,1545,1664,3468,3209
"G5101670","1790","Virginia","510","Russell","1670","Russell","40","1670",3338,969,734,693,747,1703,1440
"G5101710","1790","Virginia","510","Shenandoah","1710","Shenandoah","40","1710",10510,2779,2409,2306,2485,5188,4791
"G5101750","1790","Virginia","510","Southampton","1750","Southampton","40","1750",12864,1546,1632,1509,1625,3178,3134
"G5101770","1790","Virginia","510","Spotsylvania","1770","Spotsylvania","40","1770",11252,1278,1361,1219,1313,2639,2532
"G5101790","1790","Virginia","510","Stafford","1790","Stafford","40","1790",9588,1355,1341,1333,1436,2696,2769
"G5101810","1790","Virginia","510","Surry","1810","Surry","40","1810",6227,651,732,664,715,1383,1379
"G5101830","1790","Virginia","510","Sussex","1830","Sussex","40","1830",10549,1174,1215,1147,1235,2389,2382
"G5101890","1790","Virginia","510","Warwick","1890","Warwick","40","1875",1690,158,176,160,173,334,333
"G5101910","1790","Virginia","510","Washington","1910","Washington","40","1910",5625,1440,1287,1175,1265,2727,2440
"G5101930","1790","Virginia","510","Westmoreland","1930","Westmoreland","40","1930",7722,754,815,777,837,1569,1614
"G5101955","1790","Virginia","510","Woodford","1955","Woodford","51","2390",9210,1929,1767,1840,1427,3696,3267
"G5101990","1790","Virginia","510","York","1990","York","40","1990",5233,461,530,541,583,991,1124
"G5108305","1790","Virginia","510","Williamsburg","8305","Williamsburg","40","8300",,,,,,,
"G5109993","1790","Virginia","510","Virginia (KY part) [multi-county reporting area]","9993","Virginia [KY part]","51","0",73677,17057,15154,16286,12636,32211,28922
"G5109997","1790","Virginia","510","Virginia (non-KY part) [multi-county reporting area]","9997","Virginia  [non-KY part]","40","0",747610,116135,110936,103523,111523,227071,215046
